seed,nnsize,popsize,weight_range,bias_range,best_fit,avg_fit,
0,10,20,16,16,2.543142628504247,2.046609515074803,
1,10,20,16,16,2.181850421031338,1.5086121145514044,
2,10,20,16,16,2.819581817630888,1.8723812396466708,
3,10,20,16,16,1.807849243844928,1.2575272959029271,
4,10,20,16,16,3.149391363837215,1.7174903002010158,
5,10,20,16,16,2.194154671260422,1.491373677657278,
6,10,20,16,16,1.8456428252557657,1.1246047260753655,
7,10,20,16,16,2.5269912567256627,1.6968460127726206,
8,10,20,16,16,2.0537126095676825,1.3796479031378586,
9,10,20,16,16,2.4141614334742414,1.799437028443228,
0,9,20,16,16,2.355038176313728,1.957173504090834,
1,9,20,16,16,1.7956663620475073,1.222956128701019,
2,9,20,16,16,2.123351818761234,1.457699310515958,
3,9,20,16,16,2.086690397115746,1.2699486874210588,
4,9,20,16,16,3.0140946744009494,2.187184184765663,
5,9,20,16,16,2.783921418467092,1.8057795131162986,
6,9,20,16,16,2.5452151867009745,1.5039426845144135,
7,9,20,16,16,2.3696644990216837,1.9726113750545988,
8,9,20,16,16,2.730056786076933,2.17590170919682,
9,9,20,16,16,2.5625129600597165,1.831682162478738,
0,8,20,16,16,2.784271393564645,1.6289890386410377,
1,8,20,16,16,2.674306855444816,1.882019923880487,
2,8,20,16,16,2.6618263139678744,2.0353273275124786,
3,8,20,16,16,2.3106037808333446,1.5678509690599547,
4,8,20,16,16,2.8580804469437915,2.403954506857686,
5,8,20,16,16,2.601421941919353,1.7815166197163195,
6,8,20,16,16,2.521798181032549,1.9551079964052434,
7,8,20,16,16,2.4309510138517716,1.6126682245307724,
8,8,20,16,16,2.800800163547227,1.8424570295114726,
9,8,20,16,16,2.7201264774937166,1.878858001755129,
0,7,20,16,16,2.681158797978169,1.8895385199821164,
1,7,20,16,16,2.437695637349252,1.758510305266407,
2,7,20,16,16,2.0229807141301297,1.6598574025128134,
3,7,20,16,16,2.3796926216647063,1.551225959458344,
4,7,20,16,16,2.0269866534993093,1.522050394465864,
5,7,20,16,16,2.581878019237443,2.247508953764164,
6,7,20,16,16,2.044357270004434,1.643637412140452,
7,7,20,16,16,1.6494594916872318,1.3478577339896691,
8,7,20,16,16,1.902991438784095,1.4604566789958942,
9,7,20,16,16,1.888366224395557,1.4360455884512289,
0,6,20,16,16,2.2960897349861544,1.8441766350185909,
1,6,20,16,16,2.262761646765504,1.6240687208906004,
2,6,20,16,16,2.3579869447410617,1.703080735506902,
3,6,20,16,16,2.3755890168301335,1.4658943810532166,
4,6,20,16,16,2.36616776689864,1.7673375503136377,
5,6,20,16,16,1.9634462485887696,1.3252186203349838,
6,6,20,16,16,2.216333269527177,1.4031392059521095,
7,6,20,16,16,2.2477249275985454,1.6588752612491384,
8,6,20,16,16,2.0597272846467116,1.3032104776292184,
9,6,20,16,16,2.400383866488702,1.6125580412711191,
0,5,20,16,16,1.9874270482159966,1.5406752716092595,
1,5,20,16,16,1.9380645558025495,1.4653507646633348,
2,5,20,16,16,2.031582893154922,1.4196713555519689,
3,5,20,16,16,1.9316996383468403,1.629679715243061,
4,5,20,16,16,1.9830189472167419,1.6211863489217528,
5,5,20,16,16,1.888318337735038,1.3947165683302416,
6,5,20,16,16,1.3116014000735012,0.8989739103773362,
7,5,20,16,16,2.1678501075360144,1.7083219285331768,
8,5,20,16,16,1.6788331122899505,1.0778097779151319,
9,5,20,16,16,1.320507199737341,0.8742756349423912,
0,4,20,16,16,1.5558141556193914,1.3124060115929548,
1,4,20,16,16,1.4918011964000513,0.9384731887769412,
2,4,20,16,16,1.6216155189278854,1.1672474364627792,
3,4,20,16,16,1.4499152258893087,0.9488695501453595,
4,4,20,16,16,1.6230159768520322,0.9750716006492024,
5,4,20,16,16,1.6542847199543709,1.3042123320302799,
6,4,20,16,16,1.6927140991866423,1.2599017119777847,
7,4,20,16,16,1.6441359062265337,1.1794659923797575,
8,4,20,16,16,1.5828082912550292,1.2563991644307966,
9,4,20,16,16,1.6537777803158904,1.285447463374971,
0,3,20,16,16,1.2018397818220832,0.9059332320183551,
1,3,20,16,16,1.2063833050955517,0.829535133825388,
2,3,20,16,16,1.279326933828702,0.8783951897861968,
3,3,20,16,16,1.2713622804053881,0.7644484958598696,
4,3,20,16,16,1.2036392617668836,0.7693728297934009,
5,3,20,16,16,1.2019707663773758,0.887765894203626,
6,3,20,16,16,1.1931536590178344,0.8498207151426078,
7,3,20,16,16,1.2721486061426146,0.9688343573412886,
8,3,20,16,16,1.2926451561782615,0.8243507535909984,
9,3,20,16,16,1.279815236989189,0.9074949795152374,
0,2,20,16,16,0.7211094412886199,0.6398806787373255,
1,2,20,16,16,0.12620926852323083,0.09308064830893391,
2,2,20,16,16,0.7213693438589472,0.6206323061298548,
3,2,20,16,16,0.7216635662664144,0.6005465577707387,
4,2,20,16,16,0.7215955420114556,0.6062829007498982,
5,2,20,16,16,0.7209656498163636,0.6286686755596642,
6,2,20,16,16,0.7217529729130227,0.6503507753430179,
7,2,20,16,16,0.721102250037724,0.6581737941934241,
8,2,20,16,16,0.7217275521579133,0.6520682501001487,
9,2,20,16,16,0.7213057145472103,0.6285332789761058,
